CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	CONCEPT	DOCULECT
1407	BREATHE	breathe	respirar	respirar		
2531	BROAD	broad	ancho			
1494	DIE	die	morir	morrer		
423	GET LOST	get lost		PERDER-SE		
999	JOINT	joint	Articulaciones			
2506	LOOSE	loose	suelto			
1531	BRANCH	branch	rama	galho		
2334	MELT	melt	derretir			
505	PARENTS	parents	padres	pais		
371	PICK UP	pick up	recoger	captar		
1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)		
785	STRONG	strong	fuerte	FORTE		
2308	THIN	thin	delgado	fino		
124	THORN	thorn	ESPINA	espinho		
25	DIRT	dirt	suciedad			
3603	EARTH OR LAND	earth or land		TERRA / PAÍS		
2296	SUNRISE	sunrise	amanecer			
2295	SUNSET	sunset	puesta de sol			
3463	RIVERBANK	riverbank				
2341	CLOUDY	cloudy				
2324	GET WET	get wet				
2069	SOAK (VERB)	soak (verb)				
143	HUMID	humid				
119	DIVE	dive	zambullirse	mergulhar		
1786	DRY UP	dry up	secar	secar		
2015	MAKE DRY	make dry				
2297	DUSK	dusk	oscuridad			
1422	BE ALIVE	be alive	vivo	vivo		
2907	ROT	rot				
3287	BLOOM	bloom				
1803	WOOD	wood	madera	madeira		
66	KNEEL	kneel	arrodillarse	ajoelhar		
1836	VAGINA	vagina	Vagina	vagina		
1837	VULVA	vulva	vulva	órgão sexual feminino		
1142	URINE	urine	orina	urina		
1334	GUTS	guts	tripas	vísceras		
2613	SKIN (HUMAN)	skin (human)				
2486	HIDE	hide		ESCONDER		
2614	SKIN (ANIMAL)	skin (animal)				
3923	FEMALE ANIMAL	female animal				
2106	MALE PERSON	male person	varón, macho			
3924	MALE ANIMAL	male animal				
3609	TOWN OR VILLAGE	town or village		cidade pequena ou vila		
3780	PET	pet	mascota			
232	FLEA	flea	pulga	pulga		
2390	PECCARY	peccary				
1986	DISEASE	disease	enfermedad (dolencia)			
1129	PAINFUL	painful				
2561	HURT (SENSE PAIN)	hurt (sense pain)				
2411	HURT (SOMEBODY)	hurt (somebody)	herir			
2409	BROWN	brown	Gris			
377	LOUD	loud	ruidoso	ruidoso, barulhento		
3883	NOISY	noisy				
1182	NOISE	noise	ruido			
1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar		
2124	SMELL	smell	olor	cheirar		
21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto		
544	SPICY	spicy	picante			
251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR		
2112	OLD (AGED)	old (aged)				
179	RIPEN	ripen				
269	COOKED	cooked	cocido, cocinado	cozinhado, cozido		
6	FILL	fill	terremoto	terremoto		
3701	HOLLOW	hollow				
2790	HIGH OR TALL	high or tall				
2652	BROAD OR WIDE	broad or wide				
3861	FAIL	fail				
1590	WAIT (FOR)	wait (for)	esperar			
2223	BE ANGRY	be angry				
2215	BECOME ANGRY	become angry				
3749	HATE (LOATHING)	hate (loathing)				
1358	ENEMY	enemy	enemigo	inimigo		
1615	ESCAPE	escape				
2142	RUN AWAY	run away	escapar			
2117	DESIRE	desire	desear			
1275	ANSWER	answer	contestar	responder		
1711	TELL	tell	narrar, contar	dizer		
3230	DECEIVE	deceive	engañar			
1048	CALL	call	línea	linha		
1955	GRIEVE	grieve				
8	CURSE	curse	maldecir	amaldiçoar		
773	HAVE	have	tener	ter		
694	GET	get	obtener (recibir)	obter, conseguir		
3898	ACCEPT	accept				
1674	POOR	poor	pobre	pobre		
860	CAUSE	cause	causar	causa		
1096	SONG	song	canción			
3472	DANCE (MOVEMENT)	dance (movement)	danza			
1041	INCREASE	increase				
689	BETWEEN	between				
1005	TWINS	twins	gemelos	gêmeos		
1741	ABOVE	above		encima		
1512	RISE (ONESELF)	rise (oneself)				
690	BOTTOM	bottom	fondo	fundo		
1326	DOWN	down	abajo			
750	DROP	drop				
2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair		
463	FELL (A TREE)	fell (a tree)				
1883	IN FRONT OF	in front of	delantero, delante	frente		
2912	FORWARD	forward				
2911	BACKWARD	backward				
1778	APPROACH	approach	acercarse	aproximar		
3696	THROW AWAY	throw away	tirar			
870	BREATH	breath		hálito		
2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)				
1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar		
129	CHOKE	choke	sofocar	sufocar		
3913	COUGH (ACT OF COUGHING)	cough (act of coughing)				
3174	WAKE UP (SOMEONE)	wake up (someone)				
1533	BE HUNGRY	be hungry	hambriento	TER FOME		
739	FEED	feed	nutrir			
1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR		
2492	BOIL (SOMETHING)	boil (something)				
3294	BRAID (VERB) OR WEAVE (BASKET)	braid (verb) or weave (basket)	tejer, trenzar	tecer		
976	WEAR	wear	vestir			
1860	BEAD	bead	chaquira, abalorio	contas, miçanga		
2012	COLLAR	collar	cuello	colarinho		
2070	COMB (VERB)	comb (verb)	peinar			
1043	BRAID	braid	trenzar	trança		
1047	PURSUE	pursue	perseguir	perseguir		
1295	STICK	stick	palo			
282	POLE	pole				
1434	STAB	stab				
1720	SIGN	sign	marca			
1094	FASTEN	fasten	Amarrar			
681	DESTROY	destroy	destruir	destruir		
3080	SPLIT OPEN	split open	rajar			
165	CHOP	chop				
3224	WRING	wring				
1473	FIST	fist				
1520	CRUSH	crush				
225	PESTLE	pestle	mano de mortero	socador (do pilão)		
1588	TURN	turn	virar	virar		
696	STIR	stir	revolver			
1840	BUILD	build	edificar	construir		
1340	WITH	with	con			
1524	ACCOMPANY	accompany	vino	vinho		
2504	DIFFERENT	different	diferente			
1240	NOT	not	no	não		
1214	THIS	this	este	este		
1577	AND	and	y	e		
904	BERRY	berry				
379	BLUNT	blunt	romo, embotado	embotado, rombudo		
2003	FLOW	flow	fluir, correr	fluir		
1040	HAIR	hair	Pelo	pelo		
1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)		
1241	SOME	some	un poco, algo, alguno	alguns		
2110	WARM (OF WEATHER)	warm (of weather)				
1454	WIPE	wipe	limpiar			
